Superheading,Heading,Sub-Heading,Resource Links,Actual URL,Info,,
,,Lecture Videos,,,Chandan,,
,,,Lecture-1,https://youtu.be/j-pkC2le7-Q,,,
,,,Lecture-2,https://youtu.be/EvsVbOyqOPw,,,
,,,Lecture-3,https://youtu.be/MrD9LestpEc,,,
,,,Lecture-4,https://youtu.be/Km-ezk55ucM,,,
,,,Lecture-5,https://youtu.be/WCyZziXXPBE,,,
,"		",,Lecture-6,https://youtu.be/lBqmz3TrEmY,,,
,,,Lecture-7,https://youtu.be/GoFNB_c6NwQ,,,
,,,Lecture-8,https://youtu.be/0uT-Yk-n96s,,,
,,,Lecture-9,https://youtu.be/DxIrQiqPmJU,,,
,,,Lecture-10,https://youtu.be/0CRjUCBSmCI,,,
,,,Lecture-11,https://youtu.be/jCHfJsPo1R0,,,
,,,Lecture-12,https://youtu.be/FVkKiIimqeg,,,
,,,Lecture-13,https://youtu.be/qblruBcs7mI,,,
,,,Lecture-14,https://youtu.be/mJ16Uw4TvmM,,,
,,,Lecture-15,https://youtu.be/g3n3mHraOQw,,,
,,,Lecture-16,https://youtu.be/ReMlQzXtYaw,,,
,,,Lecture-17,https://youtu.be/YphYy312U4M,,,
,,,Webinar-1,https://youtu.be/YrC8AJGDTEI,,,
,,,Webinar-2,https://youtu.be/56e3r0hYBe8,,,
,,,Webinar-3,https://youtu.be/IUj8a6cIxio,,,
,,,Webinar-4,https://youtu.be/lW8F3Ufd2UU,,,
,,,,,,,
,,,,,,,
,3. PROBABILISTIC GRAPHICAL MODELS (AIMLC ZG526),,,,,,
,,"Books	",,,,,
,,,KollerFriedman.pdf file,https://tinyurl.com/244bfr7g,,,
,,,,,,,
,,"Lectures PPT	",,,,,
,,,PGM_All Classes pdf file,https://tinyurl.com/28epqwoj,,,
,,,,,,,
,,"Lecture Videos	",,,,,
,,,Lecture-1,https://youtu.be/K8f1gRwpCOc,,,
,,,Lecture-2,https://youtu.be/lz_-DokjSpA,,,
,,,Lecture-3,https://youtu.be/GefhbnpMJ-E,,,
,,,Lecture-4,https://youtu.be/aFMy5fqORZM,,,
,,,Lecture-5,https://youtu.be/vOyDABOhksA,,,
,,,Lecture-6,https://youtu.be/LOrCJm8Fa_8,,,
,,,Lecture-7,https://youtu.be/cpMqLBJ3hyY,,,
,,,Lecture-8,https://youtu.be/axCVlnasOA8,,,
,,,Lecture-9,https://youtu.be/0_OoLCL0ET8,,,
,,,Lecture-10,https://youtu.be/Mx0t5lNR_og,,,
,,,Lecture-11,https://youtu.be/DPJq8WZkF-Q,,,
,,,Lecture-12,https://youtu.be/YsQLN2JJn-4,,,
,,,Lecture-13,https://youtu.be/PIwLT5Iv4i4,,,
,,,Lecture-14,https://youtu.be/4RDzvUiSWO8,,,
,,,Lecture-15,https://youtu.be/t9QRe_qpfHw,,,
,,,Lecture-16,https://youtu.be/YGVvxHDgz7E,,,
,,,Lecture-17,https://youtu.be/tcf6TmHn5Zk,,,
,,,Webinar-1,https://youtu.be/V-ZWZHOAj8M,,,
,,,Webinar-2,https://youtu.be/KYCND9nJkNk,,,
,,,Webinar-3,https://youtu.be/A6wJi5kkPnw,,,
,,,Webinar-4,https://youtu.be/7cjc0GopbvY,,,
,,,,,,,
,4. DEEP NEURAL NETWORKS (AIMLC ZG511),,,,,,
,,"Books	",,,,,
,,,Deep_Learning_John D. Kelleher.pdf file,https://tinyurl.com/2y6b9889,,,
,,,"Neural Networks and Deep Learning, Charu Aggarwal.pdf file",https://tinyurl.com/2d73akvx,,,
,,,"Ian Goodfellow, Yoshua….. Deep Learning pdf file",https://tinyurl.com/29vlo5ag,,,
,,,Dive into Deep Learning.pdf file,https://tinyurl.com/289y59yj,,,
,,"Lectures PPT	",,,,,
,,,DNN_All Classes pdf file,https://tinyurl.com/23jf9dxp,,,
,,,,,,,
,,Lecture Videos,,,,,
,,,Lecture-1,https://youtu.be/5_Jbqpxf94c,,,
,,,Lecture-2,https://youtu.be/9Ymccg_HouI,,,
,,,Lecture-3,https://youtu.be/rbh2eQCdhWM,,,
,,,Lecture-4,https://youtu.be/KxiSAjHmApc,,,
,,,Lecture-5,https://youtu.be/GUjy6wBgdf4,,,
,,,Lecture-6,https://youtu.be/81mAryFDZSQ,,,
,,,Lecture-7,https://youtu.be/XLwza4xIaxM,,,
,,,Lecture-8,https://youtu.be/MK3TeEGCFoA,,,
,,,Lecture-9,https://youtu.be/_Z8EeJ8lVns,,,
,,,Lecture-10,https://youtu.be/AaBRkdkJ22A,,,
,,,Lecture-11,https://youtu.be/aqfOFcmrC-4,,,
,,,Lecture-12,https://youtu.be/fafciCElvMY,,,
,,,Lecture-13,https://youtu.be/OD9LgvaZ5ug,,,
,,,Lecture-14,https://youtu.be/MkmqjleCSZg,,,
,,,Webinar-1,https://youtu.be/n4KSHrr0Z5A,,,
,,,Webinar-2,https://youtu.be/ShVdVJ61eyY,,,
,,,Webinar-3,https://youtu.be/lOGNc08jino,,,
,,,Webinar-4,https://youtu.be/CcI1J4npV_g,,,
,,,,,,,
,5. NATURAL LANGUAGE PROCESSING (AIMLC ZG530),,,,,,
,,"Books	",,,,,
,,,Natural language processing-Course Handout pdf file,https://tinyurl.com/24cmxlcd,,,
